date,open,high,low,close,volume
2021-06-29,14523.6299,14575.1904,14481.8496,14572.75,4901300000
2021-06-30,14560.0703,14582.2998,14530.8701,14554.7998,5293810000
2021-07-01,14530.6299,14576.6396,14483.4199,14560.0498,4410470000
2021-07-02,14633.5098,14738.1396,14626.8203,14727.6299,3751420000
2021-07-06,14755.1504,14797.4502,14635.3096,14786.3604,4489540000
2021-07-07,14889.7598,14891.1904,14735.75,14810.54,4605630000
2021-07-08,14577.6699,14763.6699,14551.7598,14722.1396,4575010000
2021-07-09,14709.3203,14838.7197,14685.54,14826.0898,3826500000
2021-07-12,14878.71,14899.46,14813.79,14877.8896,3897090000
2021-07-13,14871.04,15002.2803,14843.7998,14874.54,4583460000
2021-07-14,14984.8604,15001.1299,14871.7305,14900.4404,4496220000
2021-07-15,14903.4902,14907.5098,14717.5498,14794.6904,4512550000
2021-07-16,14842.0801,14875.9697,14667.0996,14681.3799,4069530000
2021-07-19,14517.96,14578.96,14455.0703,14549.0898,4537130000
2021-07-20,14601.3398,14790.5996,14530.7803,14728.21,4652450000
2021-07-21,14723.6699,14843.1699,14710.1104,14842.6299,4098520000
2021-07-22,14865.4697,14941.3799,14865.4697,14940.1699,3597540000
2021-07-23,15004.4297,15125.8398,14948.04,15111.79,3997250000
2021-07-26,15088.2803,15142.3496,15048.2305,15125.9502,4437090000
2021-07-27,15103.0098,15107.7402,14787.7998,14956.9697,4329230000
2021-07-28,15005.1699,15078.8496,14913.5498,15018.0996,4268210000
2021-07-29,15015.2998,15091.96,15004.4199,15048.3604,3928640000
2021-07-30,14882.3896,14990.8604,14882.3896,14959.9004,3645050000
2021-08-02,15046.0996,15059.8896,14945.1299,14963.6201,3746130000
2021-08-03,14997.2002,15063.6602,14864.5303,15061.4199,4141370000
2021-08-04,15059.1602,15117.3799,15017.1396,15083.3896,4337330000
2021-08-05,15105.4004,15184.2695,15083.8398,15181.6396,4107300000
2021-08-06,15125.7402,15162.3398,15063.0195,15109.3604,4173090000
2021-08-09,15136.1396,15154.6797,15081.75,15133.1104,4111640000
2021-08-10,15157.3701,15169.4502,15010.1602,15053.5801,3991770000
2021-08-11,15101.8203,15127.7803,14972.5996,15027.7598,4002340000
2021-08-12,15012.5996,15097.9102,14956.25,15088.9805,4049000000
2021-08-13,15101.8398,15150.4805,15079.2998,15136.6797,4061070000
2021-08-16,15090.0498,15142.0303,14931.1504,15140.7695,3973920000
2021-08-17,15018.9404,15062.7002,14906.2197,15002.8301,4168880000
